（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B0CKMN182G,B0CKMS8317,"Rotaglass 13.5"" Microwave Glass Turntable Plate, 13.5"" / 34.3cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hotpoint, Panasonic, Kenmore, etc",ZP-13.5,"1,170",30,37.34%,43.48%,"1,650",37,38.39%,42.53%,97.72%,100.00%,400,14,34.19%,46.67%,"US$9,104.04",US$321.86,399,14
B0CKMN182G,B0CRHMD4M3,"Rotaglass 12"" Microwave Glass Turntable Plate, 12"" / 30.5cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hotpoint, Panasonic, Kenmore, etc",ZP-12,664,14,21.19%,20.29%,918,17,21.36%,19.54%,99.76%,100.00%,179,6,26.96%,42.86%,"US$3,507.21",US$117.94,179,6
B0CKMN182G,B0CKMTF3XR,"Rotaglass 9.6"" Microwave Glass Turntable Plate, 9.6"" / 24.4cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hotpoint, Panasonic, Kenmore, etc",ZP-9.6,489,16,15.61%,23.19%,673,23,15.66%,26.44%,99.83%,100.00%,180,17,36.81%,106.25%,"US$1,798.20",US$169.83,168,8
B0CKMN182G,B0D929Y18S,"Rotaglass 10.5"" Microwave Glass Turntable Plate, 10.5"" / 27cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hotpoint, Panasonic, Kenmore, etc",ZP-10.5,357,6,11.39%,8.70%,479,6,11.14%,6.90%,99.77%,100.00%,66,1,18.49%,16.67%,"US$1,045.35",US$15.99,66,1
B0CKMN182G,B0CKMSPL7R,"Rotaglass 11.25"" Microwave Glass Turntable Plate, 11.25"" / 28.6cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hotpoint, Panasonic, Kenmore, etc",ZP-11.25,144,2,4.60%,2.90%,180,2,4.19%,2.30%,99.39%,0.00%,44,1,30.56%,50.00%,US$755.58,US$17.99,43,1
B0CKMN182G,B0CKMS6CNQ,"Rotaglass 12.5"" Microwave Glass Turntable Plate, 12.5"" / 31.8cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hotpoint, Panasonic, Kenmore, etc",ZP-12.5,97,1,3.10%,1.45%,132,2,3.07%,2.30%,99.19%,100.00%,26,0,26.80%,0.00%,US$529.74,US$0.00,26,0
B0CKMN182G,B0CRHKZGJ7,"Rotaglass 12.75"" Microwave Glass Turntable Plate, 12.75"" / 32.4cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hotpoint, Panasonic, Kenmore, etc",ZP-12.75,115,0,3.67%,0.00%,146,0,3.40%,0.00%,100.00%,0.00%,17,0,14.78%,0.00%,US$342.84,US$0.00,17,0
B0CKMN182G,B0DBV762F7,"Rotaglass 14"" Microwave Glass Turntable Plate, 14"" / 36cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hotpoint, Panasonic, Kenmore, etc",ZP-14,78,0,2.49%,0.00%,100,0,2.33%,0.00%,97.70%,0.00%,6,0,7.69%,0.00%,US$197.94,US$0.00,6,0
B0CKMN182G,B0DBV8MP78,"Rotaglass 16.5"" Microwave Glass Turntable Plate, 16.5"" / 42cm Microwave Tray Replacement Glass Plate, Glass Tray Replacement for LG, GE, Magic Chef, Hotpoint, Panasonic, Kenmore, etc",ZP-16.5,19,0,0.61%,0.00%,20,0,0.47%,0.00%,100.00%,0.00%,1,0,5.26%,0.00%,US$34.99,US$0.00,1,0
