SKU,ASIN,头程单价,FOB单价
ZP-9.6,B0CKMTF3XR,0.61,1.12
ZP-10.5,B0D929Y18S,1.4,1.4
ZP-11.25,B0CKMSPL7R,1,2.24
ZP-12,B0CRHMD4M3,1.14,2.52
ZP-12.5,B0CKMS6CNQ,1.25,3.22
ZP-12.75,B0CRHKZGJ7,1.36,3.22
ZP-13.5,B0CKMS8317,1.41,3.5
ZP-14,B0DBV762F7,1.43,3.92
ZP-16,B0DBTPZYJY,1.91,4.48
ZP-16.5,B0DBV8MP78,1.91,4.62
