"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 7, 2024 9:36:14 AM PDT","21452389381","Order","111-1366904-4706647","TWS-CM115SET","YOHANSEN 115Pcs Cobalt Drill Bits Set - M35 High Speed Steel Twist Drill Bit for Hard Metal, Wood, Plastic, Precision Jobber Drill Bits with Metal Ind","2","amazon.com","Amazon","Bonanza","OR","97623","","279.98","0","1.81","0","0","0","0","0","-1.81","0","0","0","-17.04","0","0","262.94"
"Oct 8, 2024 1:55:19 AM PDT","21560648601","FBA Inventory Fee","","","FBA storage fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-37.45","-37.45"
"Oct 8, 2024 9:30:54 AM PDT","21560648601","Order","111-6623444-8619466","TWS-CS29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Metal Inde","1","amazon.com","Amazon","ANCHORAGE","AK","99504","MarketplaceFacilitator","69.99","0","0","0","0","0","0","0","0","0","0","0","-7.08","0","0","62.91"
"Oct 8, 2024 2:21:11 PM PDT","21560648601","Order","112-8775261-8014667","TWS-CF21SET","YOHANSEN 21Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Storage In","1","amazon.com","Amazon","TEMPE","AZ","85282","MarketplaceFacilitator","15.99","1.04","0","0","0","0","0","0","-3.20","0","-1.04","0","-4.55","0","0","8.24"
"Oct 8, 2024 8:16:35 PM PDT","21560648601","Order","114-1416272-3593825","TWS-CF21SET","YOHANSEN 21Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Storage In","2","amazon.com","Amazon","Pensacola","FL","32506","MarketplaceFacilitator","31.98","2.16","0","0","0","0","0","0","-3.20","0","-2.16","0","-9.10","0","0","19.68"
"Oct 9, 2024 8:03:42 AM PDT","21560648601","Transfer","","","To your account ending in: 303, Bank Transfer ID: 1GRPX7IE0ET2TA3","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-746.91","-746.91"
"Oct 9, 2024 3:54:31 PM PDT","21560648601","Order","112-9396548-3011451","TWS-CF29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - Black and Gold Finish High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plast","1","amazon.com","Amazon","MAGALIA","CA","95954","MarketplaceFacilitator","37.49","2.45","0","0","0","0","0","0","-3.75","0","-2.45","0","-7.08","0","0","26.66"
"Oct 9, 2024 8:52:25 PM PDT","21560648601","Order","114-8696568-3252258","TWS-CF21SET","YOHANSEN 21Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Storage In","1","amazon.com","Amazon","MIDDLE RIVER","MD","21220","MarketplaceFacilitator","15.99","0.96","0","0","0","0","0","0","0","0","-0.96","0","-4.55","0","0","11.44"
"Oct 10, 2024 12:51:46 AM PDT","21560648601","Order","112-1418905-0988232","TWS-CF21SET","YOHANSEN 21Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Storage In","2","amazon.com","Amazon","WEST VALLEY CITY","UT","84120","MarketplaceFacilitator","31.98","2.08","0","0","0","0","0","0","-3.20","0","-2.08","0","-9.10","0","0","19.68"
"Oct 10, 2024 1:25:28 AM PDT","21560648601","Order","113-5676040-3465031","TWS-CS29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Metal Inde","1","amazon.com","Amazon","HICKORY","NC","28602","MarketplaceFacilitator","55.99","3.53","0","0","0","0","0","0","-5.60","0","-3.53","0","-7.08","0","0","43.31"
"Oct 10, 2024 12:12:34 PM PDT","21560648601","Order","114-9675524-2747465","TWS-CF21SET","YOHANSEN 21Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Storage In","1","amazon.com","Amazon","STRONGSVILLE","OH","44136","MarketplaceFacilitator","15.99","1.02","0","0","0","0","0","0","-3.20","0","-1.02","0","-4.55","0","0","8.24"
"Oct 10, 2024 8:34:15 PM PDT","21560648601","Order","113-7245860-6393838","TWS-CF21SET","YOHANSEN 21Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Storage In","1","amazon.com","Amazon","OCEANSIDE","CA","92054","MarketplaceFacilitator","15.99","1.06","0","0","0","0","0","0","-3.20","0","-1.06","0","-4.55","0","0","8.24"
