"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 1, 2024 6:37:44 AM PDT","21452389381","Order","111-6812051-1569845","TWS-CM115SET","YOHANSEN 115Pcs Cobalt Drill Bits Set - M35 High Speed Steel Twist Drill Bit for Hard Metal, Wood, Plastic, Precision Jobber Drill Bits with Metal Ind","1","amazon.com","Amazon","SAPULPA","OK","74066","MarketplaceFacilitator","179.99","0","2.99","0","0","0","0","0","-22.99","0","0","-24.00","-8.52","0","0","127.47"
"Oct 1, 2024 12:22:40 PM PDT","21452389381","Order","114-8354981-5636220","TWS-CM115SET","YOHANSEN 115Pcs Cobalt Drill Bits Set - M35 High Speed Steel Twist Drill Bit for Hard Metal, Wood, Plastic, Precision Jobber Drill Bits with Metal Ind","1","amazon.com","Amazon","JACKSON","TN","38301","MarketplaceFacilitator","179.99","17.55","0","0","0","0","0","0","0","0","-17.55","-27.00","-8.52","0","0","144.47"
"Oct 1, 2024 1:46:24 PM PDT","21452389381","Service Fee","542054fc-25c9-46e6-844c-fb4dd3d76616","","Coupon Redemption Fee: Save $20 on 115Pcs M35 Cobalt Drill Bit Set","1","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0.60","0"
"Oct 2, 2024 1:20:22 AM PDT","21452389381","Service Fee","","","Subscription","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-18.08","-18.08"
"Oct 2, 2024 10:55:00 AM PDT","21452389381","Order","111-1274171-6245053","TWS-CF21SET","YOHANSEN 21Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Storage In","1","amazon.com","Amazon","ATLANTIC MINE","MI","49905","MarketplaceFacilitator","17.99","0.86","0","0","0","0","0","0","-3.60","0","-0.86","0","-4.55","0","0","9.84"
"Oct 2, 2024 1:45:12 PM PDT","21452389381","Service Fee","532b9250-902a-49f5-ad81-6dd6fa62a176","","Coupon Redemption Fee: Save 10% on 29Pcs Cobalt Black Gold Drill Bit Set","1","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0.60","0"
"Oct 3, 2024 7:50:31 AM PDT","21452389381","Order","111-1872079-1513854","TWS-CF29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - Black and Gold Finish High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plast","1","amazon.com","Amazon","TAMPA","FL","33619","MarketplaceFacilitator","49.99","0","0","0","0","0","0","0","0","0","0","0","-7.08","0","0","42.91"
"Oct 3, 2024 8:29:46 AM PDT","21452389381","Order","112-5022526-1092255","TWS-CF29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - Black and Gold Finish High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plast","1","amazon.com","Amazon","POPLARVILLE","MS","39470","MarketplaceFacilitator","49.99","3.50","0","0","0","0","0","0","0","0","-3.50","0","-7.08","0","0","42.91"
"Oct 4, 2024 1:59:56 PM PDT","21452389381","Service Fee","542054fc-25c9-46e6-844c-fb4dd3d76616","","Coupon Redemption Fee: Save $20 on 115Pcs M35 Cobalt Drill Bit Set","1","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0.60","0"
"Oct 5, 2024 12:14:04 PM PDT","21452389381","Service Fee","001fdf5d-c550-4907-a4f5-906bcbde5ffb","","Coupon Redemption Fee: Save 20% on 21Pcs Cobalt Drill Bit Set","1","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0.60","0"
"Oct 5, 2024 8:12:45 PM PDT","21452389381","Order","112-8343278-1379454","TWS-CF21SET","YOHANSEN 21Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Storage In","1","amazon.com","Amazon","LEWISVILLE","TX","75067","MarketplaceFacilitator","29.99","2.47","0","0","0","0","0","0","0","0","-2.47","0","-4.55","0","0","25.44"
