"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 23, 2024 1:51:50 PM PDT","20959195641","Service Fee","542054fc-25c9-46e6-844c-fb4dd3d76616","","Coupon Redemption Fee: Save $20 on 115Pcs M35 Cobalt Drill Bit Set","1","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0.60","0"
"Sep 23, 2024 11:35:33 PM PDT","20959195641","Order","112-4201916-5924203","TWS-CF29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - Black and Gold Finish High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plast","1","amazon.com","Amazon","PLEASANTON","TX","78064","MarketplaceFacilitator","39.99","2.70","0","0","0","0","0","0","0","0","-2.70","-6.00","-7.08","0","0","26.91"
"Sep 24, 2024 1:25:54 AM PDT","21452389381","Debt","","","amzn1.cam.v1.sgid.20959195641","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.50","16.50"
"Sep 25, 2024 5:30:21 AM PDT","21452389381","Order","112-7397485-9337809","TWS-CS29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Metal Inde","2","amazon.com","Amazon","MONTEREY PARK","CA","91754","MarketplaceFacilitator","119.98","11.68","0","0","0","0","0","0","-6.00","0","-11.68","-17.10","-14.16","0","0","82.72"
"Sep 25, 2024 5:30:27 AM PDT","21452389381","Transfer","","","Micro Deposit","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.01","-0.01"
"Sep 25, 2024 12:28:34 PM PDT","21452389381","Order","113-3756447-9001825","TWS-CF29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - Black and Gold Finish High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plast","2","amazon.com","Amazon","CORVALLIS","MT","59828","","79.98","0","0","0","0","0","0","0","0","0","0","-18.00","-14.16","0","0","47.82"
"Sep 25, 2024 12:28:34 PM PDT","21452389381","Order","113-3756447-9001825","TWS-CF29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - Black and Gold Finish High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plast","1","amazon.com","Amazon","CORVALLIS","MT","59828","","39.99","0","0","0","0","0","0","0","0","0","0","0","-7.08","0","0","32.91"
"Sep 25, 2024 12:59:15 PM PDT","21452389381","Service Fee","","","Vine Enrollment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sep 25, 2024 3:00:07 PM PDT","21452389381","Order","114-7456181-5968240","TWS-CS29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Metal Inde","1","amazon.com","Amazon","WEST CHICAGO","IL","60185","MarketplaceFacilitator","59.99","5.10","2.90","0","0","0","0","0","-2.90","0","-5.10","-9.00","-7.08","0","0","43.91"
"Sep 25, 2024 3:25:24 PM PDT","21452389381","Order","112-8579709-4454639","TWS-CF29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - Black and Gold Finish High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plast","1","amazon.com","Amazon","CLARKSBURG","MD","20871","MarketplaceFacilitator","39.99","2.16","0","0","0","0","0","0","-4.00","0","-2.16","-5.40","-7.08","0","0","23.51"
"Sep 26, 2024 2:11:04 AM PDT","21452389381","Order","114-5041778-6122613","TWS-CS29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Metal Inde","1","amazon.com","Amazon","BAINBRIDGE ISLAND","WA","98110","MarketplaceFacilitator","59.99","5.52","0","0","0","0","0","0","0","0","-5.52","-9.00","-7.08","0","0","43.91"
"Sep 26, 2024 4:54:25 AM PDT","21452389381","Order","114-5041778-6122613","TWS-CS29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Metal Inde","1","amazon.com","Amazon","BAINBRIDGE ISLAND","WA","98110","MarketplaceFacilitator","59.99","5.52","0","0","0","0","0","0","0","0","-5.52","-9.00","-7.08","0","0","43.91"
"Sep 26, 2024 7:52:19 AM PDT","21452389381","Order","111-6896001-7612267","TWS-CF29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - Black and Gold Finish High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plast","1","amazon.com","Amazon","CENTRAL BRIDGE","NEW YORK","12035","MarketplaceFacilitator","39.99","3.20","0","0","0","0","0","0","0","0","-3.20","-6.00","-7.08","0","0","26.91"
"Sep 26, 2024 12:39:59 PM PDT","21452389381","Order","114-0090181-5910628","TWS-CS29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Metal Inde","1","amazon.com","Amazon","CHICAGO PARK","CA","95712","MarketplaceFacilitator","59.99","4.50","0","0","0","0","0","0","0","0","-4.50","-9.00","-7.08","0","0","43.91"
"Sep 27, 2024 12:04:52 PM PDT","21452389381","Order","111-5124486-2010622","TWS-CF29SET","YOHANSEN 29Pcs Cobalt Drill Bits Set - Black and Gold Finish High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plast","1","amazon.com","Amazon","IONIA","MI","48846","MarketplaceFacilitator","39.99","2.40","0","0","0","0","0","0","0","0","-2.40","-6.00","-7.08","0","0","26.91"
"Sep 27, 2024 9:42:23 PM PDT","21452389381","Order","111-6972208-1165802","TWS-CM115SET","YOHANSEN 115Pcs Cobalt Drill Bits Set - M35 High Speed Steel Twist Drill Bit for Hard Metal, Wood, Plastic, Precision Jobber Drill Bits with Metal Ind","1","amazon.com","Amazon","MIDLAND","MI","48640","MarketplaceFacilitator","139.99","7.20","0","0","0","0","0","0","-20.00","0","-7.20","-18.00","-8.60","0","0","93.39"
