SKU,ASIN,头程单价,FOB单价
CCQ-L,B0C8MZHBDD,0.65,3
DG-L,B0CFGTCS3W,0.6,3
"DG-17""",B0CLHTS21Y,0.65,3
TB-L,B0CL8XBB95,0.65,5
TB-XL,B0D4D6241Z,0.84,7
JBTB-L,B0D5BFXWNS,0.69,5
CCTB-L,B0D2KSCW94,0.76,2
