SKU,ASIN,头程单价,FOB单价
MJQ-E,B0CYC82DB3,0,0
MJQ-M,B0CYC7P993,0,0
MJQ-NM,B0CYC7HKD3,0,0
MJQ-TR250E,B0CJF8GL1H,13.4,140.42
MJQ-TR250M,B0CJF6HC24,16.81,198.06
QF-TR250NM,B0D2HDBNFR,17.22,210
MJQ-TR250NM,B0CJF98C7Q,0,0
MJQ-TR250C,B0CFZTQKCD,20.83,253.47
QXJ-QF-4006DW,B0CJF5RNGD,5.55,84.72
