"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 30, 2024 1:32:15 AM PDT","21466770461","Refund","113-4063352-0672204","MJQ-TR250M","DACAT-RICHFU TR250M 18L Autoclave","1","amazon.com","Standard Orders","Amazon","Sabaneta","Antioquia colombia","","","-739.99","0","-119.03","0","0","0","0","0","219.03","0","0","0","0","0","0","-639.99"
"Sep 30, 2024 10:50:11 AM PDT","21466770461","Order","114-4227010-2928256","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","TROY","MO","63379","MarketplaceFacilitator","868.99","36.71","0","0","0","0","0","0","0","0","-36.71","-104.28","-51.37","0","0","713.34"
"Sep 30, 2024 2:23:38 PM PDT","21466770461","Adjustment","111-3188414-1837051","MJQ-TR250NM","FBA Inventory Reimbursement - Customer Service Issue","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","754.62","754.62"
"Sep 30, 2024 7:23:12 PM PDT","21466770461","Refund","113-4063352-0672204","MJQ-TR250M","DACAT-RICHFU TR250M 18L Autoclave","1","amazon.com","Standard Orders","Amazon","Sabaneta","Antioquia colombia","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-75.00","-75.00"
"Sep 30, 2024 9:10:31 PM PDT","21466770461","Order","113-1034796-1997858","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","SAN FRANCISCO","CA","94110","MarketplaceFacilitator","868.99","74.95","0","0","0","0","0","0","0","0","-74.95","-104.28","-51.37","0","0","713.34"
"Oct 1, 2024 2:15:12 AM PDT","21466770461","Adjustment","113-4063352-0672204","MJQ-TR250M","FBA Inventory Reimbursement - Customer Return","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75.00","75.00"
"Oct 1, 2024 12:20:36 PM PDT","21466770461","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-508.41","0","-508.41"
"Oct 1, 2024 12:54:16 PM PDT","21466770461","Order","112-4357567-6967464","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","HATTIESBURG","MS","39401","MarketplaceFacilitator","868.99","0","0","0","0","0","0","0","0","0","0","-104.28","-51.37","0","0","713.34"
"Oct 2, 2024 3:23:26 AM PDT","21466770461","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-67.70","0","-67.70"
"Oct 2, 2024 12:40:57 PM PDT","21466770461","Order","113-9783025-3973862","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","Clark","NJ","07066","MarketplaceFacilitator","868.99","57.57","0","0","0","0","0","0","0","0","-57.57","0","-51.37","0","0","817.62"
"Oct 2, 2024 12:41:40 PM PDT","21466770461","Order","112-1645937-1636242","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11201","MarketplaceFacilitator","868.99","0","0","0","0","0","0","0","0","0","0","0","-51.37","0","0","817.62"
"Oct 3, 2024 7:55:23 AM PDT","21466770461","Refund","112-7271845-6816260","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","PORTLAND","ME","04101","MarketplaceFacilitator","-868.99","-47.79","0","0","0","0","0","0","0","0","47.79","0","0","0","0","-868.99"
"Oct 4, 2024 10:51:15 AM PDT","21466770461","Order","114-1479257-2124204","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","CINCINNATI","OH","45236","MarketplaceFacilitator","868.99","67.78","0","0","0","0","0","0","0","0","-67.78","0","-51.37","0","0","817.62"
"Oct 4, 2024 10:52:15 AM PDT","21466770461","Order","114-0273426-2033807","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","NORTH ATTLEBORO","MA","02760","MarketplaceFacilitator","868.99","54.31","0","0","0","0","0","0","0","0","-54.31","0","-51.37","0","0","817.62"
"Oct 4, 2024 10:53:26 AM PDT","21466770461","Order","111-5042800-4241028","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","HIALEAH","FL","33018","MarketplaceFacilitator","868.99","60.83","0","0","0","0","0","0","0","0","-60.83","0","-51.37","0","0","817.62"
"Oct 4, 2024 11:40:51 AM PDT","21466770461","Order","112-1615173-0034616","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","BOCA RATON","FL","33496","MarketplaceFacilitator","868.99","60.83","0","0","0","0","0","0","0","0","-60.83","0","-51.37","0","0","817.62"
"Oct 4, 2024 1:14:29 PM PDT","21466770461","Order","112-0901744-6972202","QXJ-QF-4006DW","DACAT-RICHFU Ultrasonic Cleaner, 6.5L Professional Ultrasonic Cleaner Stainless Steel Heated Industrial Cleaning Machine，Ultrasonic Parts Cleaner Fi","1","amazon.com","Standard Orders","Amazon","PORT HUENEME","CA","93041","MarketplaceFacilitator","109.99","9.62","0","0","0","0","0","0","0","0","-9.62","0","-16.27","0","0","93.72"
"Oct 5, 2024 3:29:43 AM PDT","21466770461","Order","114-3099058-3317013","QF-TR250NM","DACAT-RICHFU Automatic Autoclave TR250NM 18L","1","amazon.com","Standard Orders","Amazon","North Bend","WA","98045","MarketplaceFacilitator","759.99","66.88","0","0","0","0","0","0","0","0","-66.88","0","-45.37","0","0","714.62"
"Oct 5, 2024 1:14:54 PM PDT","21466770461","Service Fee","FBA18617LY01","","FBA Inbound Placement Service Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oct 6, 2024 11:46:47 PM PDT","21466770461","Refund","113-0436579-1396202","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","HOUSTON","TX","77056","MarketplaceFacilitator","-968.99","-79.94","0","0","0","0","0","0","0","0","79.94","0","0","0","0","-968.99"
