"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 23, 2024 3:19:10 PM PDT","21371884201","Order","112-5294352-1739404","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","MISSOULA","MT","59802","","868.99","0","0","0","0","0","0","0","0","0","0","-104.28","-51.37","0","0","713.34"
"Sep 25, 2024 1:55:06 AM PDT","21466770461","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-350.23","0","-350.23"
"Sep 26, 2024 1:02:18 AM PDT","21466770461","Order","111-9315699-5381832","MJQ-TR250NM","DACAT-RICHFU TR250NM 18L Automatic Autoclave","1","amazon.com","Standard Orders","Amazon","HUNTINGTON","NY","11743","MarketplaceFacilitator","799.99","0","0","0","0","0","0","0","-99.00","0","0","-84.12","-45.37","0","0","571.50"
"Sep 26, 2024 8:05:16 AM PDT","21466770461","Transfer","","","To your account ending in: 605, Bank Transfer ID: 3ES4BRAEVP9NJQ0","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-5,983.31","-5,983.31"
"Sep 26, 2024 10:38:55 AM PDT","21466770461","Order","113-4980285-5489044","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","PATCHOGUE","NY","11772","MarketplaceFacilitator","868.99","74.95","0","0","0","0","0","0","0","0","-74.95","-104.28","-51.37","0","0","713.34"
"Sep 26, 2024 10:39:29 AM PDT","21466770461","Order","111-7375607-6373859","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","MONTGOMERY VILLAGE","MD","20886","MarketplaceFacilitator","868.99","52.14","0","0","0","0","0","0","0","0","-52.14","-104.28","-51.37","0","0","713.34"
"Sep 27, 2024 1:31:50 AM PDT","21466770461","Order","112-7473459-9591441","MJQ-TR250E","DACAT-RICHFU TR250E 14L Autoclave","1","amazon.com","Standard Orders","Amazon","SCHAUMBURG","IL","60173","MarketplaceFacilitator","538.99","53.90","27.77","0","0","0","0","0","0","0","-53.90","-64.68","-52.02","0","0","450.06"
"Sep 27, 2024 10:51:06 AM PDT","21466770461","Order","112-0867658-8697021","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","NAPLES","FL","34103","MarketplaceFacilitator","868.99","52.14","0","0","0","0","0","0","0","0","-52.14","-104.28","-51.37","0","0","713.34"
"Sep 27, 2024 10:51:40 AM PDT","21466770461","Order","111-7248618-7458614","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","WEST DOVER","VT","05356","MarketplaceFacilitator","868.99","0","6.99","0","0","0","0","0","-6.99","0","0","-104.28","-51.37","0","0","713.34"
"Sep 27, 2024 11:46:32 AM PDT","21466770461","Order","112-7584495-8080250","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","ROCKPORT","TX","78382","MarketplaceFacilitator","868.99","71.69","0","0","0","0","0","0","0","0","-71.69","-104.28","-51.37","0","0","713.34"
