"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 16, 2024 10:36:04 AM PDT","21371884201","Order","112-0425075-0261862","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","JORDANVILLE","NY","13361","MarketplaceFacilitator","868.99","71.69","0","0","0","0","0","0","0","0","-71.69","-67.66","-51.37","0","0","749.96"
"Sep 16, 2024 4:35:25 PM PDT","21371884201","Order","111-9981259-3721811","MJQ-TR250M","DACAT-RICHFU TR250M 18L Autoclave","1","amazon.com","Standard Orders","Amazon","OAK PARK","CA","91377","MarketplaceFacilitator","699.99","43.57","0","0","0","0","0","0","-99.00","0","-43.57","-72.12","-46.12","0","0","482.75"
"Sep 16, 2024 5:11:57 PM PDT","21371884201","Service Fee","a51da4b9-1190-4a4f-bf47-0598b9fe0001","","Coupon Redemption Fee: Save $99 on TR250M Dental Autoclave","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Sep 18, 2024 10:38:03 AM PDT","21371884201","Order","113-5693091-7613062","MJQ-TR250E","DACAT-RICHFU TR250E 14L Autoclave","1","amazon.com","Standard Orders","Amazon","ASHBURN","VA","20147","MarketplaceFacilitator","538.99","32.34","0","0","0","0","0","0","0","0","-32.34","-64.68","-24.25","0","0","450.06"
"Sep 18, 2024 11:43:49 AM PDT","21371884201","Order","112-4402195-6329851","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","SUWANEE","GA","30024","MarketplaceFacilitator","868.99","52.14","0","0","0","0","0","0","0","0","-52.14","-104.28","-51.37","0","0","713.34"
"Sep 18, 2024 10:25:01 PM PDT","21371884201","FBA Inventory Fee","xo8ugWs030","","FBA Removal Order: Disposal Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-73.68","-73.68"
"Sep 18, 2024 10:25:06 PM PDT","21371884201","FBA Inventory Fee","xo8ugWs030","","FBA Removal Order: Disposal Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-83.76","-83.76"
"Sep 18, 2024 10:25:26 PM PDT","21371884201","FBA Inventory Fee","xo8ugWs030","","FBA Removal Order: Disposal Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-62.02","-62.02"
"Sep 19, 2024 11:23:04 AM PDT","21371884201","Order","111-7933006-4061832","MJQ-TR250C","DACAT-RICHFU 18L TR250C Lab Autoclave with Drying Function Water Storage Tank","1","amazon.com","Standard Orders","Amazon","LEWISTOWN","PA","17044","MarketplaceFacilitator","868.99","52.14","0","0","0","0","0","0","0","0","-52.14","-104.28","-51.37","0","0","713.34"
"Sep 19, 2024 1:45:12 PM PDT","21371884201","Order","111-2433213-4765002","MJQ-TR250M","DACAT-RICHFU TR250M 18L Autoclave","1","amazon.com","Standard Orders","Amazon","Wheeling","IL","60090","MarketplaceFacilitator","699.99","70.00","0","0","0","0","0","0","0","0","-70.00","-84.00","-46.12","0","0","569.87"
